1st_Set|A_Test.sh|Loops the install url for faster and easier refreshing. V1.1
Administration|Caddy_Editor.sh|Interactive Caddyfile Configuration Manager & Syntax Validator V1.7
Webpages|Ice_Cube.sh|CubeCooler v1.4.3 Management Console with Systemd Service Control
Webpages|Ramdrop.sh|RAM Drop v1.3.2 All-in-One Self-Contained Deployment & Management Console
Webpages|Subnet_Calc.sh|HomeLab Subnet & IP Calculator Management Console with Systemd Service Control
Tools|conspy_control.sh|Standalone Conspy screen mirroring controller and setup manager v1.1
Scripts|discord_controller.sh|Discord bot installer
Discord|discord_monitor.sh|Pre Ping working version of temperature alerts, alert scheduling and resource testing with Instant Watchdog Triggers. V2.0
Tools|disk_check.sh|Advanced disk and SD card health monitor and cleaner.
Tools|img_backup.sh|Modular Pi Imager Utility with Dynamic USB Detection and Network Streaming V1.3.3
Scripts|log2ram.sh|Interactive installer for log2ram with whiptail configuration.
Tools|net_auditor.sh|Enhanced network utility featuring an interactive menu for Ookla Speed Tests, open port auditing, ping checks, DNS tests, and Wi-Fi diagnostics.
Tools|overclock.sh|Smart Raspberry Pi overclocking manager with live thermal monitoring and safe backups.
Scripts|security_module_upgrade.sh|Security and network watchdog setup adn installer
Tools|stress_test.sh|PiTweaks All-in-One Continuous Stress Suite & Telemetry V2.0
Tools|swap_manager.sh|Smart memory and swap manager with auto-detection and recommendations
Tools|sys_info.sh|System information and telemtry, condensed.
Tools|throttlecheck.sh|Pi throttle checker
Scripts|unbound.sh|Automated installer and configurer for Unbound (Recursive DNS) with Port Conflict Check
Scripts|wireguard.sh|Fully automated installer and configurer for WireGuard and WireGuard-UI (Bare Metal) V1.1
